software,basis_set,atoms_supported
qchem,"RIJ-def2-SVP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJ-def2-SVP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJ-def2-TZVP","H, He, Li → Ne, Na → Ar"
qchem,"RIJ-def2-TZVPP","H, He, Li → Ne, Na → Ar"
qchem,"RIJ-def2-TZVPPd","H, He, Li → Ne, Na → Ar"
qchem,"RIJ-def2-QZVP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJ-def2-QZVPP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJ-def2-QZVPPd","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJ-def2-cc-pVdZ","H, He, Li → Ne, Na → Ar"
qchem,"RIJ-def2-cc-pVTZ","H, He, Li → Ne, Na → Ar, Ga → Kr"
qchem,"RIJ-def2-cc-pVQZ","H, He, Li → Ne, Na → Ar, Ga → Kr"
qchem,"RIJ-def2-aug-cc-pVdZ","H, He, Li → Ne, Na → Ar"
qchem,"RIJ-def2-aug-cc-pVTZ","H, He, Li → Ne, Na → Ar, Ga → Kr"
qchem,"RIJ-def2-aug-cc-pVQZ","H, He, Li → Ne, Na → Ar, Ga → Kr"
qchem,"RIJK-def2-SVP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJK-def2-SVP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJK-def2-TZVP","H, He, Li → Ne, Na → Ar"
qchem,"RIJK-def2-TZVPP","H, He, Li → Ne, Na → Ar"
qchem,"RIJK-def2-TZVPPd","H, He, Li → Ne, Na → Ar"
qchem,"RIJK-def2-QZVP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJK-def2-QZVPP","H, He, Li → Ne, Na → Ar, K → Br, Rb → Xe, Cs → La, Hf → Rn"
qchem,"RIJK-def2-QZVPPd","H, He, Li -> Ne, Na -> Ar, K -> Br, Rb -> Xe, Cs -> La, Hf -> Rn"
qchem,"RIJK-def2-cc-pVdZ","H, He, Li -> Ne, Na -> Ar"
qchem,"RIJK-def2-cc-pVTZ","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
qchem,"RIJK-def2-cc-pVQZ","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
qchem,"RIJK-def2-aug-cc-pVdZ","H, He, Li -> Ne, Na -> Ar"
qchem,"RIJK-def2-aug-cc-pVTZ","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
qchem,"RIJK-def2-aug-cc-pVQZ","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
qchem,"RIMP2-def2-SVP","H, He, Li -> Ne, Na -> Ar, K -> Br, Rb -> Xe, Cs -> La, Hf -> Rn"
qchem,"RIMP2-def2-SVP","H, He, Li -> Ne, Na -> Ar, K -> Br, Rb -> Xe, Cs -> La, Hf -> Rn"
qchem,"RIMP2-def2-TZVP","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
qchem,"RIMP2-def2-TZVPP","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
qchem,"RIMP2-def2-TZVPPd","H, He, Li -> Ne, Na -> Ar, Ga -> Kr"
